,id,telefono,nombre,email,tipo de cedula
0,7-7171-3010,+506 8261-1785,Sampson Pinch,Sampson_Pinch@outlook.com,Fisica
1,2-5447-8089,+506 9318-6041,Ellis Lassetter,Ellis_Lassetter@yahoo.com,Fisica
2,0-0052-0484,+506 2829-0794,Gabbey Estable,Gabbey_Estable@outlook.com,Fisica
3,1-7871-4046,+506 0493-5950,Geneva Huyge,Geneva_Huyge@outlook.com,Fisica
4,4-2436-9404,+506 3868-9037,Kenon Redington,Kenon_Redington@yahoo.com,Fisica
5,3-2402-0796,+506 8312-5720,Zebulon Le Merchant,Zebulon_Le Merchant@gmail.com,Fisica
6,7-0608-3892,+506 2363-4583,Gibby Elks,Gibby_Elks@outlook.com,Fisica
7,1-8891-7972,+506 9096-8954,Zelma Fewkes,Zelma_Fewkes@hotmail.com,Fisica
8,2-5340-7263,+506 9736-5380,Teirtza Schenfisch,Teirtza_Schenfisch@hotmail.com,Fisica
9,2-1643-6517,+506 9776-4461,Hoyt Recke,Hoyt_Recke@yahoo.com,Fisica
10,5-9152-4645,+506 5623-1578,Modestine Buye,Modestine_Buye@outlook.com,Fisica
11,6-7715-2373,+506 7447-7230,Finley Furse,Finley_Furse@yahoo.com,Fisica
12,8-1062-8941,+506 6865-8402,Tobin Millmore,Tobin_Millmore@gmail.com,Fisica
13,5-6153-6824,+506 5561-0965,Lawrence Asken,Lawrence_Asken@gmail.com,Fisica
14,0-2369-7932,+506 6423-3418,Bil Blenkharn,Bil_Blenkharn@outlook.com,Fisica
15,6-0758-0096,+506 3512-5270,Michail Toffoloni,Michail_Toffoloni@gmail.com,Fisica
16,5-6923-9991,+506 2275-6097,Carlin Lile,Carlin_Lile@gmail.com,Fisica
17,2-5698-9971,+506 9689-3646,Glyn Momford,Glyn_Momford@yahoo.com,Fisica
18,2-4627-3031,+506 4886-3528,Maxwell Vosse,Maxwell_Vosse@hotmail.com,Fisica
19,2-9504-8843,+506 0837-6600,Davie Nutbean,Davie_Nutbean@hotmail.com,Fisica
20,1-3238-3743,+506 1147-9079,Fran Faires,Fran_Faires@outlook.com,Fisica
21,8-1922-0258,+506 0717-8831,Phaedra Astman,Phaedra_Astman@yahoo.com,Fisica
22,3-8276-8243,+506 4725-3123,Cassondra Laite,Cassondra_Laite@hotmail.com,Fisica
23,5-5085-2194,+506 8836-6420,Tyrus Walklate,Tyrus_Walklate@outlook.com,Fisica
24,4-9377-5823,+506 0755-3610,Dyann Notman,Dyann_Notman@hotmail.com,Fisica
25,7-1158-9452,+506 0901-2516,Roxane Dorton,Roxane_Dorton@yahoo.com,Fisica
26,6-6128-3725,+506 5318-5006,Loree Limbrick,Loree_Limbrick@gmail.com,Fisica
27,3-2831-1037,+506 2127-5071,Gracia Joselovitch,Gracia_Joselovitch@hotmail.com,Fisica
28,2-3553-1611,+506 5487-0081,Tony Cartwight,Tony_Cartwight@hotmail.com,Fisica
